index,Dice,IoU,Precision,Recall,aji_plus,pq,detection_f1,segmentation_quality,recognition_quality
5179,0.808548479632817,0.6786247411759041,0.9379076267802475,0.7105475446203489,0.33311558561328003,0.18129606998862016,0.2926829268292683,0.6194282391277856,0.2926829268292683
5180,0.8738887740334919,0.7760234991738572,0.8890524766011147,0.859233661957516,0.32366422658548266,0.10709369025029356,0.1935483870967742,0.5533173996265167,0.1935483870967742
5181,0.7382158759404268,0.5850571915307861,0.7161866931479642,0.761643256943711,0.3683952003368185,0.2973762903677229,0.43243243243243246,0.6876826714753591,0.43243243243243246
5182,0.8174805427371031,0.6913040945890849,0.7859744387788888,0.8516179952644041,0.3039023723874141,0.14103339299202022,0.25,0.5641335719680809,0.25
5183,0.9000352778935891,0.8182401306198612,0.966724078539442,0.8419536781471259,0.22571641967058453,0.09421216181434024,0.14545454545454545,0.6477086124735891,0.14545454545454545
5184,0.9039373885716012,0.8247132774591972,0.9731294729993494,0.8439316142865203,0.2652562111801242,0.07341498916018291,0.08695652173913043,0.8442723753421034,0.08695652173913043
5185,0.9114240479960003,0.8372627066748316,0.9551170101292351,0.8715537848605578,0.2794156848110039,0.16589012184475732,0.24242424242424243,0.684296752609624,0.24242424242424243
5186,0.8615459093109569,0.7567682494684621,0.8176736350409679,0.9103930428851564,0.3235011221545367,0.2077115171864675,0.2926829268292683,0.709681017053764,0.2926829268292683
5187,0.8154166843918833,0.6883573942397472,0.8885592434637493,0.753399889945759,0.3957368483553022,0.20767767635289697,0.2857142857142857,0.7268718672351394,0.2857142857142857
5188,0.8029090909090909,0.6707168894289186,0.8221276595744681,0.7845685279187817,0.3877447792470554,0.3222938192242958,0.48484848484848486,0.66473100215011,0.48484848484848486
5189,0.8545568340474701,0.746049092131809,0.9593557453248297,0.7703993055555556,0.34789097988319273,0.21663989698920683,0.3125,0.6932476703654619,0.3125
5190,0.8637487733071639,0.7601741173219098,0.8514161894443585,0.8764438779574604,0.5007965071685645,0.3827546849706191,0.55,0.6959176090374892,0.55
5191,0.9011470152935372,0.8200796902183063,0.9655104063429137,0.8448285829912702,0.47149670679082445,0.30345555368295357,0.3870967741935484,0.7839268470142967,0.3870967741935484
